meanI,meanJ,taoI,taoJ,kontras,Energy,Homogenitas,Correlation,Class
16.48837607,16.48837607,51.93782651,51.93782651,33.88437804,0.822159235,0.992601914,0.993719388,1
69.13784976,69.14839098,53.9200932,53.91964374,0.154847476,0.040578248,0.952484378,0.999973389,1
23.16013646,23.14838157,58.24321961,58.23082552,32.78488467,0.744191132,0.992976248,0.995166725,1
1.318047291,1.313937543,15.94575655,15.92182874,8.610727888,0.986261928,0.999556148,0.983043272,1
36.70851226,36.70851226,73.44017689,73.44017689,26.88222032,0.635165265,0.988082914,0.997507887,1
10.01593827,10.01593827,44.06133196,44.06133196,20.83363843,0.903233507,0.996607698,0.99463438,1
2.528101892,2.5184093,21.20872703,21.16381389,13.65206858,0.971157242,0.997931049,0.984794778,1
35.92080596,35.90943971,74.80886647,74.79778858,30.84921165,0.656212157,0.98679853,0.997243432,1
17.67935143,17.66747903,58.94755267,58.92823359,44.8699496,0.840516841,0.995698324,0.993541504,1
28.08457487,28.08457487,70.83032094,70.83032094,63.51692379,0.743933915,0.992820542,0.993669747,1
16.71963881,16.72430246,49.52681811,49.53461918,13.62025077,0.802188855,0.99197766,0.997224104,1
32.70420806,32.70310097,66.0742816,66.07309357,26.39037473,0.64417384,0.983549754,0.996977555,1
20.6113827,20.59951291,58.722557,58.70624866,28.64006787,0.790305961,0.992705187,0.995846171,1
27.86020324,27.86874901,64.8772763,64.88842444,26.15499736,0.708262945,0.986501754,0.99689357,1
36.02098229,36.03471348,75.19324027,75.20644357,26.83690727,0.657090662,0.990271036,0.997627191,1
44.66143467,44.64813576,76.85480065,76.84498167,23.20478791,0.548504246,0.98971358,0.998035482,1
40.81103877,40.79976003,76.32548009,76.31585414,27.60329472,0.599554372,0.986728721,0.997630574,1
40.00032673,40.01682292,76.08546583,76.1006176,22.31499579,0.60918127,0.987627046,0.998073065,1
23.24588686,23.24865104,56.57304367,56.57739376,31.21110753,0.729001084,0.985787791,0.995124419,1
30.79655008,30.79170865,64.80835335,64.80265379,20.64058656,0.659448495,0.982632666,0.99754265,1
1.221167665,1.224912473,14.83176214,14.85894045,9.728180758,0.985868292,0.999267507,0.977930757,1
4.65931377,4.652936833,28.0583387,28.03632505,15.46348642,0.945492224,0.997757825,0.990171672,1
32.13744693,32.14384569,67.01425891,67.02057529,34.42008253,0.656568168,0.980751909,0.996168176,1
12.77030217,12.77430711,44.41706621,44.42595841,18.34512033,0.850848866,0.992287944,0.99535162,1
52.46490748,52.48042522,75.54965562,75.56091762,11.74420655,0.44646399,0.982617013,0.998971391,1
31.16125554,31.15263905,63.83721839,63.82755253,22.38973676,0.647162009,0.987473948,0.997252526,1
15.88105384,15.8723093,49.05119288,49.03642083,12.87406095,0.816003822,0.992720339,0.99732387,1
32.23683358,32.24894554,67.71843404,67.73083183,24.10365398,0.657055135,0.986067616,0.997372431,1
66.93714909,66.92244323,82.89883739,82.8911495,31.26727554,0.360628525,0.971269469,0.997724905,1
51.86282571,51.87877251,78.47662241,78.48783994,30.16941146,0.478459403,0.97887377,0.997551001,1
4.852001037,4.841439963,29.49315756,29.46011031,16.00562128,0.947148585,0.99841021,0.990790114,1
25.19576246,25.18878818,60.3847406,60.37449836,30.57779677,0.718648782,0.98720051,0.995806339,1
25.02502569,25.03278901,62.10572569,62.11610408,19.87591223,0.735704964,0.986922716,0.997423931,1
57.70210056,57.70730173,78.53997754,78.54309307,36.76737439,0.422164365,0.974583772,0.997019882,1
